global_rank,domain,category,primary_market,monthly_visits,bounce_rate_pct,avg_session_duration_s,stickiness_index,last_crawled
1,google.com,Social,DE,996572612,56.85,497.97,14.6,07/02/2026
2,gtld-servers.net,Social,IN,635529412,40.19,281.25,11.66,07/02/2026
3,microsoft.com,Social,IN,525892610,59.96,507.02,14.09,07/02/2026
4,facebook.com,News,BR,589445551,34.35,193.58,9.39,07/02/2026
5,mail.ru,Finance,BR,402317681,42.3,300.91,11.86,07/02/2026
6,cloudflare.com,Search,GB,334143655,49.34,74.71,2.52,07/02/2026
7,googleapis.com,Social,GB,376941229,55.65,389.54,11.67,07/02/2026
8,apple.com,Social,JP,415012900,39.04,303.73,12.97,07/02/2026
9,youtube.com,Streaming,BR,296821826,29.58,1715.01,96.63,07/02/2026
10,amazonaws.com,Tech,DE,263102204,38.34,157.76,6.86,07/02/2026
11,instagram.com,Finance,DE,252270262,52.58,464,14.71,07/02/2026
12,dzen.ru,News,US,346164172,55.04,483.48,14.64,07/02/2026
13,gstatic.com,Finance,DE,249773462,32,125.61,6.54,07/02/2026
14,akamai.net,Social,JP,307122589,47.51,341.08,11.97,07/02/2026
15,office.com,Search,IN,216739182,47.19,110.12,3.89,07/02/2026
16,twitter.com,Streaming,BR,211271952,19.51,1845.97,157.69,07/02/2026
17,googlevideo.com,Streaming,JP,236317374,22.06,2348.96,177.47,07/02/2026
18,live.com,Streaming,IN,273843355,28.29,885.83,52.19,07/02/2026
19,linkedin.com,Social,US,207815027,46.04,206.72,7.48,07/02/2026
20,fbcdn.net,Streaming,IN,191331971,23.77,1888.92,132.44,07/02/2026
21,googletagmanager.com,News,DE,202396575,42.42,538.05,21.14,07/02/2026
22,akadns.net,Search,US,185606465,36.09,145.4,6.71,07/02/2026
23,akamaiedge.net,Search,IN,222002758,44.2,99.63,3.76,07/02/2026
24,amazon.com,Streaming,IN,176310109,18.67,851.62,76.02,07/02/2026
25,workers.dev,E-commerce,BR,200157336,36.23,131.35,6.04,07/02/2026
26,microsoftonline.com,News,GB,161153089,40.06,182.28,7.58,07/02/2026
27,azure.com,Finance,JP,167022433,58.03,562.12,16.14,07/02/2026
28,googleusercontent.com,Search,BR,221506499,40.54,172.34,7.09,07/02/2026
29,wikipedia.org,Social,GB,213194289,43.27,448.64,17.28,07/02/2026
30,windowsupdate.com,Streaming,GB,212804436,25.5,846.58,55.33,07/02/2026
31,github.com,Finance,US,145412192,54.44,596.33,18.26,07/02/2026
32,doubleclick.net,Social,GB,175832912,38.3,534.14,23.24,07/02/2026
33,domaincontrol.com,News,US,142085880,33.56,277.79,13.8,07/02/2026
34,bing.com,E-commerce,GB,180366796,53.39,586.68,18.31,07/02/2026
35,digicert.com,Tech,DE,191275221,53.98,169.63,5.24,07/02/2026
36,whatsapp.net,Finance,DE,169077552,33.68,234.94,11.63,07/02/2026
37,netflix.com,Streaming,GB,147029001,26.09,1489.32,95.14,07/02/2026
38,fastly.net,News,IN,149957155,37.24,204.92,9.17,07/02/2026
39,apple-dns.net,Social,US,149874320,41.19,512.13,20.72,07/02/2026
40,office.net,News,JP,176300048,54.95,400.08,12.13,07/02/2026
41,wordpress.org,E-commerce,US,148082499,48.82,545.93,18.64,07/02/2026
42,aaplimg.com,Social,DE,166316178,59.09,208.11,5.87,07/02/2026
43,appsflyersdk.com,E-commerce,GB,132167875,45.35,534.04,19.63,07/02/2026
